Create date,Ticket Tags,Stage Date - Project Launch,Associated Contact,Category,Target Launch Date,Kickoff Call,Close date,Pipeline,Stage Date - Project Initiation,Stage Date - Planning Phase,Ticket status,Stage Date - Execution,Time to first agent email reply (HH:mm:ss),Last CES survey rating,Priority,Associated Company,Who will be creating the Syms?,Stage Date - Closure Phase,Stage Date - Monitoring and Control Phase,Associated Company (Primary),Response time (HH:mm:ss),Ticket ID,Time to close (HH:mm:ss),Associated Deal,Library index approved,Training: General Overview,Latest Milestone,Training: Deployment/User Management Training,Requirements for the Trial,Training: Sym Building 101,Last modified date,Type,Trial End Date,Training: Sym Building 201,Stage Date - Converted Won,Latest Milestone Update Date,Ticket name,Trial Overview,Trial Start Date,1st Syms presented for review,Project Launch Day,Training: Reporting,Construction of 1st Sym begun,Trial Required,Was the sym QAed?,Company ID,Parent Company,CCaaS,Annual Revenue,Target Account,Associated Contact_company,Number of Form Submissions,Total Agents,Web Technologies,Close Date,# of Agents Total,Number of times contacted,Contact with Primary Company,ICP Fit Level,Revenue range,# of Agents Contracted,Record ID,Time Zone,Primary Industry,Number of Pageviews,Primary Company,Year Founded,ICP,Industry group,Segmentation,LMS System,SymTrain Use Cases,Associated Company_company,BPO,SSO Application,State/Region,SymTrain Product,Contract End Date,SSO Implemented?,Consolidated Industry,Type_company,Number of Employees,BPO Program,Primary Sub-Industry,Number of Sessions,WFM,Country/Region,Industry,Create Date,Company name,Last Modified Date,BPO Program Tier,Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date_deal,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline_deal,Record ID_deal,Forecast category,Original Traffic Source,Associated Company_deal,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary)_deal,Is Closed Won,Forecast probability,Contract End Date_deal,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date_deal,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date_deal,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date_deal,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type
2023-12-18 15:02,,,Contact_b6d930b5,,,2023-12-27,2024-01-29 11:50,Project Success Plan,2023-12-18,,Converted-Won,2024-01-02,,,,Company_67d87cec,,2024-01-29,,Company_67d87cec,,2193923207,1004:48:10,Deal_67d87cec,No,,,,Coaching,,2025-02-14 13:39,,,,2024-02-06,,Ticket_4baf7886,,,,,,2023-12-27,,,11466483988,,,58812.0,,Contact_cacd4127,2.0,,Microsoft Exchange Online; Facebook Advertiser; Salesforce; Woo Commerce; App Nexus; Cloud Flare; Typekit By Adobe; Hotjar; Google Tag Manager; Godaddy Nameserver; Bing Advertiser; Dstillery; Microsoft Office 365; Shopify; MediaMath; Google Analytics; Outlook; Bazaarvoice; Klaviyo,2024-01-22 12:29,40.0,98.0,Company_0b7f25a5,,,40.0,11466483988,America/Los_Angeles,Retail,2.0,,1979.0,,,,,,,,,California,,2025-01-20,,Retail,Customer,1000.0,,Furniture,2.0,,United States,Retail,2023-01-30 13:03,Company_67d87cec,2025-02-14 13:39,,9600.0,Renewal,,,363.0,45.0,2026-01-21 14:18,Other,,,,,,Sales Pipeline,32325340702,Not forecasted,Offline Sources,Associated_67d87cec,Deal_3cf008ff,,0.0,12000.0,,,0.8,Associated_67d87cec,False,,,2025-02-14 09:53,,,False,9600.0,False,,Deal_7e468196,12000.0,,12000.0,,1.0,,2025-01-22 14:20,,,2025-02-14 10:55,,Renewals ,Renewal
2023-12-18 15:02,,,Contact_b6d930b5,,,2023-12-27,2024-01-29 11:50,Project Success Plan,2023-12-18,,Converted-Won,2024-01-02,,,,Company_67d87cec,,2024-01-29,,Company_67d87cec,,2193923207,1004:48:10,Deal_67d87cec,No,,,,Coaching,,2025-02-14 13:39,,,,2024-02-06,,Ticket_4baf7886,,,,,,2023-12-27,,,11466483988,,,58812.0,,Contact_cacd4127,2.0,,Microsoft Exchange Online; Facebook Advertiser; Salesforce; Woo Commerce; App Nexus; Cloud Flare; Typekit By Adobe; Hotjar; Google Tag Manager; Godaddy Nameserver; Bing Advertiser; Dstillery; Microsoft Office 365; Shopify; MediaMath; Google Analytics; Outlook; Bazaarvoice; Klaviyo,2024-01-22 12:29,40.0,98.0,Company_0b7f25a5,,,40.0,11466483988,America/Los_Angeles,Retail,2.0,,1979.0,,,,,,,,,California,,2025-01-20,,Retail,Customer,1000.0,,Furniture,2.0,,United States,Retail,2023-01-30 13:03,Company_67d87cec,2025-02-14 13:39,,12000.0,Renewal,,,322.0,,2025-01-22 14:17,SymTrain EE name,,,,,,Sales Pipeline,17887715615,Closed won,Offline Sources,Associated_67d87cec,Deal_3cf008ff,,1.0,12000.0,,,1.0,Associated_67d87cec,True,,,2024-12-18 13:27,,,False,12000.0,True,,Deal_79cef088,12000.0,,12000.0,,0.0,4228:06:44,2024-03-06 11:46,,,2025-01-22 14:18,,Closed Won,Renewal
2023-12-18 15:02,,,Contact_b6d930b5,,,2023-12-27,2024-01-29 11:50,Project Success Plan,2023-12-18,,Converted-Won,2024-01-02,,,,Company_67d87cec,,2024-01-29,,Company_67d87cec,,2193923207,1004:48:10,Deal_67d87cec,No,,,,Coaching,,2025-02-14 13:39,,,,2024-02-06,,Ticket_4baf7886,,,,,,2023-12-27,,,11466483988,,,58812.0,,Contact_cacd4127,2.0,,Microsoft Exchange Online; Facebook Advertiser; Salesforce; Woo Commerce; App Nexus; Cloud Flare; Typekit By Adobe; Hotjar; Google Tag Manager; Godaddy Nameserver; Bing Advertiser; Dstillery; Microsoft Office 365; Shopify; MediaMath; Google Analytics; Outlook; Bazaarvoice; Klaviyo,2024-01-22 12:29,40.0,98.0,Company_0b7f25a5,,,40.0,11466483988,America/Los_Angeles,Retail,2.0,,1979.0,,,,,,,,,California,,2025-01-20,,Retail,Customer,1000.0,,Furniture,2.0,,United States,Retail,2023-01-30 13:03,Company_67d87cec,2025-02-14 13:39,,12000.0,New Hire and Coaching,00:37:00,,165.0,,2024-01-22 12:29,Event,795:15:39,2023-12-20,,,,Sales Pipeline,14545852989,Closed won,Offline Sources,Associated_67d87cec,Deal_3d3dc242,,1.0,12000.0,,,1.0,Associated_67d87cec,True,,2025-01-20,2024-01-17 15:17,,2023-12-20,False,12000.0,True,2024-01-19,Deal_67d87cec,12000.0,42:11:26,12000.0,1179:12:45,0.0,,2023-08-09 14:28,168:12:21,,2024-12-16 14:06,,Closed Won,New
2024-10-30 12:31,,,Contact_aa84b2e1,,,,2025-02-10 11:18,Project Success Plan,,,Lost,,49:24:00,,,Company_7588d0d5,,,,Company_67d87cec,49:24:00,15899166073,2471:47:33,,,,,,,,2025-02-14 13:39,,2024-11-07,,,,Ticket_88dda9e1,,2024-11-05,,,,,,,29543474616,,,473601.0,,Contact_ca10c67a,9.0,,Microsoft Exchange Online; Wordpress; Salesforce; App Nexus; Mailchimp; Nginx; Dstillery; Google Tag Manager; Godaddy Nameserver; Microsoft Office 365; MediaMath; Outlook,2023-08-07 10:56,5000.0,1110.0,Company_676058db,Tier 1: Ideal Fit,,1200.0,29543474616,America/Chicago,Business Services,99.0,,2003.0,,,,,,,Etech,,Texas,,,,BPO,Customer,1120.0,Yes,Call Centers & Business Centers,46.0,,United States,,2022-08-12 03:59,Company_99580638,2025-02-20 11:03,,72000.0,renewal for 2024,,,0.0,,2024-09-03 13:02,Other,,,00:03:23,,,Sales Pipeline,21900634765,Closed won,Offline Sources,Associated_99580638,Deal_1255256f,,1.0,72000.0,,,1.0,Associated_99580638,True,,,2024-09-04 13:30,,,False,72000.0,True,,Deal_e810046d,72000.0,,72000.0,,0.0,,2024-09-03 12:58,,,2025-02-19 10:45,,Closed Won,Renewal
2024-10-30 12:31,,,Contact_aa84b2e1,,,,2025-02-10 11:18,Project Success Plan,,,Lost,,49:24:00,,,Company_7588d0d5,,,,Company_67d87cec,49:24:00,15899166073,2471:47:33,,,,,,,,2025-02-14 13:39,,2024-11-07,,,,Ticket_88dda9e1,,2024-11-05,,,,,,,29543474616,,,473601.0,,Contact_ca10c67a,9.0,,Microsoft Exchange Online; Wordpress; Salesforce; App Nexus; Mailchimp; Nginx; Dstillery; Google Tag Manager; Godaddy Nameserver; Microsoft Office 365; MediaMath; Outlook,2023-08-07 10:56,5000.0,1110.0,Company_676058db,Tier 1: Ideal Fit,,1200.0,29543474616,America/Chicago,Business Services,99.0,,2003.0,,,,,,,Etech,,Texas,,,,BPO,Customer,1120.0,Yes,Call Centers & Business Centers,46.0,,United States,,2022-08-12 03:59,Company_99580638,2025-02-20 11:03,,108000.0,Renewal,00:27:10,,234.0,,2024-09-03 09:38,Other,,,,,,Sales Pipeline,16913145882,Closed won,Offline Sources,Associated_99580638,Deal_1255256f,,1.0,108000.0,,,1.0,Associated_99580638,True,,,2024-08-18 16:37,,,False,108000.0,True,,Deal_142df158,108000.0,,108000.0,,0.0,838:27:40,2024-01-12 16:14,,,2025-02-19 10:45,,Closed Won,Growth
2024-10-30 12:31,,,Contact_aa84b2e1,,,,2025-02-10 11:18,Project Success Plan,,,Lost,,49:24:00,,,Company_7588d0d5,,,,Company_67d87cec,49:24:00,15899166073,2471:47:33,,,,,,,,2025-02-14 13:39,,2024-11-07,,,,Ticket_88dda9e1,,2024-11-05,,,,,,,29543474616,,,473601.0,,Contact_ca10c67a,9.0,,Microsoft Exchange Online; Wordpress; Salesforce; App Nexus; Mailchimp; Nginx; Dstillery; Google Tag Manager; Godaddy Nameserver; Microsoft Office 365; MediaMath; Outlook,2023-08-07 10:56,5000.0,1110.0,Company_676058db,Tier 1: Ideal Fit,,1200.0,29543474616,America/Chicago,Business Services,99.0,,2003.0,,,,,,,Etech,,Texas,,,,BPO,Customer,1120.0,Yes,Call Centers & Business Centers,46.0,,United States,,2022-08-12 03:59,Company_99580638,2025-02-20 11:03,,72000.0,BPO Program,,,1.0,,2023-10-27 17:25,Referral Partner,,,,,,Sales Pipeline,15797615118,Closed won,Offline Sources,Associated_99580638,Deal_bb6f872e,,1.0,72000.0,,,1.0,Associated_99580638,True,,,2024-08-16 15:49,,,False,72000.0,True,,Deal_ff32b564,72000.0,,72000.0,29:34:27,0.0,,2023-10-26 11:50,,,2025-02-19 10:45,,Closed Won,Growth
2024-10-30 12:31,,,Contact_aa84b2e1,,,,2025-02-10 11:18,Project Success Plan,,,Lost,,49:24:00,,,Company_7588d0d5,,,,Company_67d87cec,49:24:00,15899166073,2471:47:33,,,,,,,,2025-02-14 13:39,,2024-11-07,,,,Ticket_88dda9e1,,2024-11-05,,,,,,,29543474616,,,473601.0,,Contact_ca10c67a,9.0,,Microsoft Exchange Online; Wordpress; Salesforce; App Nexus; Mailchimp; Nginx; Dstillery; Google Tag Manager; Godaddy Nameserver; Microsoft Office 365; MediaMath; Outlook,2023-08-07 10:56,5000.0,1110.0,Company_676058db,Tier 1: Ideal Fit,,1200.0,29543474616,America/Chicago,Business Services,99.0,,2003.0,,,,,,,Etech,,Texas,,,,BPO,Customer,1120.0,Yes,Call Centers & Business Centers,46.0,,United States,,2022-08-12 03:59,Company_99580638,2025-02-20 11:03,,12000.0,50 seat deal for their ops/trial customers. City F...,375:32:10,,144.0,,2023-08-11 14:18,Customer Referral - Other,,,,,,Sales Pipeline,14574414463,Closed won,Offline Sources,Associated_e075732e,Deal_3d3dc242,,1.0,12000.0,,,1.0,Associated_99580638,True,,,2024-08-16 15:49,,2023-08-11,False,12000.0,True,2023-08-31,Deal_0c4da90e,12000.0,,12000.0,2747:49:52,0.0,,2023-03-20 11:08,121:09:50,,2025-02-19 10:45,,Closed Won,New
2024-10-30 12:31,,,Contact_aa84b2e1,,,,2025-02-10 11:18,Project Success Plan,,,Lost,,49:24:00,,,Company_7588d0d5,,,,Company_67d87cec,49:24:00,15899166073,2471:47:33,,,,,,,,2025-02-14 13:39,,2024-11-07,,,,Ticket_88dda9e1,,2024-11-05,,,,,,,29543474616,,,473601.0,,Contact_ca10c67a,9.0,,Microsoft Exchange Online; Wordpress; Salesforce; App Nexus; Mailchimp; Nginx; Dstillery; Google Tag Manager; Godaddy Nameserver; Microsoft Office 365; MediaMath; Outlook,2023-08-07 10:56,5000.0,1110.0,Company_676058db,Tier 1: Ideal Fit,,1200.0,29543474616,America/Chicago,Business Services,99.0,,2003.0,,,,,,,Etech,,Texas,,,,BPO,Customer,1120.0,Yes,Call Centers & Business Centers,46.0,,United States,,2022-08-12 03:59,Company_99580638,2025-02-20 11:03,,53240.0,Seasonal Hurricane Support for New Hires,2044:36:26,,246.0,,2023-04-13 12:59,Referral Partner,,,,,,Sales Pipeline,9771980923,Closed won,Offline Sources,Associated_0d6d0ab8,Deal_3d3dc242,,1.0,53240.0,,,1.0,Associated_fb8bb7fb,True,,,2024-09-23 17:23,,,False,53240.0,True,,Deal_64a91c5c,53240.0,,53240.0,242:06:06,0.0,,2022-08-09 17:32,336:18:05,,2025-02-19 10:45,,Closed Won,New
2024-12-12 09:01,,2025-01-10,Contact_fec7b624,,,2024-12-10,,Project Success Plan,2024-12-13,,Project Launch,2025-01-03,1516:30:41,,,Company_90e34cd3,,,,Company_d9482f6a,1516:30:41,17452741013,,Deal_2fddb8b0,Yes,2024-12-23,,2024-12-23,Assessment; Coaching,2024-12-23,2025-02-14 13:39,,2025-04-30,2024-12-23,,,Ticket_2226dda1,Trial until end of April,2024-12-11,2024-12-23,2025-01-06,2024-12-23,2024-12-11,,,16275185826,,,48140.0,,Contact_bb949d0b,4.0,,Microsoft Exchange Online; Youtube; Icims; Nginx; Wordpress; Mouseflow; Facebook Connect; Facebook Advertiser; Salesforce; Gravity Forms; Microsoft Office 365; Go Squared; Recaptcha; Google Analytics; Piwik; Outlook; HubSpot,,,122.0,Company_bb949d0b,,,,16275185826,America/Chicago,Transportation,3.0,,1996.0,,,,,,,,,Texas,,,,BPO,,1000.0,,Freight & Logistics Services,4.0,,United States,Management Consulting,2023-06-29 18:57,Company_e30e35bd,2025-02-18 11:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07 16:37,,,Contact_11c92d4d,,2023-10-02,2023-06-08,2024-01-04 13:28,Project Success Plan,,,Converted-Won,,26:25:51,,,Company_5c625991,,,,Company_5c625991,26:25:51,1891106581,2853:51:33,,,2023-07-12,Kickoff Call,2023-07-19,Onboarding,2023-07-11,2025-02-14 13:39,,,2023-08-01,2024-01-04,2023-11-24,Ticket_6c996e04,"Coaching already implemented, adding onboarding deployment.",,,2023-06-14,2023-07-19,,,,15851984185,,,100000000.0,,Contact_aeace69e,2.0,,Microsoft Exchange Online; Act-On; Mandrill; Facebook Advertiser; Salesforce; App Nexus; Recaptcha; Typekit By Adobe; Google Tag Manager; Dstillery; Microsoft Office 365; MediaMath; Google Analytics; Outlook,2023-08-01 10:51,200.0,89.0,Company_aeace69e,Tier 2: Partial Fit,,500.0,15851984185,America/Chicago,Business Services,24.0,,1991.0,,,,,,,,,Iowa,,,,Healthcare,,1000.0,,Management Consulting,8.0,,United States,Hospital & Health Care,2023-05-25 09:54,Company_5c625991,2025-02-14 13:39,,15000.0,Renewal,24:04:43,,214.0,,2024-08-13 12:15,Other,,,,,,Sales Pipeline,16897802586,Closed won,Offline Sources,Associated_5c625991,Deal_3cf008ff,,1.0,15000.0,,,1.0,Associated_5c625991,True,,,2024-02-29 11:20,,,False,15000.0,True,,Deal_6541576c,15000.0,,15000.0,,0.0,337:04:33,2024-01-11 16:41,,,2024-11-15 12:24,,Closed Won,Renewal
